plant_key,Name,Definition,Applications,Advantages,Usage,Precautions,Visit_url
guava,Guava,"Guava (Psidium guajava) is a tropical fruit-bearing shrub native to Central America. It is known for its sweet and tangy flavor, and it is rich in vitamin C, antioxidants, and dietary fiber. The fruit and leaves have been used in traditional medicine for various health benefits.","Guava is used to support digestive health, boost immunity, and manage diabetes. Its leaves are traditionally used to treat diarrhea, infections, and inflammation. The fruit is consumed fresh, in juices, or used in cooking and jams.","Guava is packed with vitamins A, C, and E, which support immune function, skin health, and eye health. It also has antimicrobial, anti-inflammatory, and antioxidant properties. Guava aids in digestion, lowers blood sugar levels, and promotes heart health.","Guava fruit is eaten fresh, added to smoothies, or used in cooking. Guava leaves are used to make tea or extracts, which can be consumed for digestive and health benefits. Guava is also used in jams, juices, and preserves.","Overconsumption of guava may cause digestive discomfort, such as bloating or gas. Guava leaves should be used cautiously, especially in pregnant or breastfeeding women, as they may have mild medicinal effects. Always consult a healthcare provider before using medicinal extracts.",https://en.wikipedia.org/wiki/Guava
Gauva,Gauva,"Gauva (Psidium guajava) is a tropical fruit-bearing shrub native to Central America. It is known for its sweet and tangy flavor, and it is rich in vitamin C, antioxidants, and dietary fiber. The fruit and leaves have been used in traditional medicine for various health benefits.","Gauva is used to support digestive health, boost immunity, and manage diabetes. Its leaves are traditionally used to treat diarrhea, infections, and inflammation. The fruit is consumed fresh, in juices, or used in cooking and jams.","Gauva is packed with vitamins A, C, and E, which support immune function, skin health, and eye health. It also has antimicrobial, anti-inflammatory, and antioxidant properties. Guava aids in digestion, lowers blood sugar levels, and promotes heart health.","Gauva fruit is eaten fresh, added to smoothies, or used in cooking. Guava leaves are used to make tea or extracts, which can be consumed for digestive and health benefits. Guava is also used in jams, juices, and preserves.","Overconsumption of guava may cause digestive discomfort, such as bloating or gas. Guava leaves should be used cautiously, especially in pregnant or breastfeeding women, as they may have mild medicinal effects. Always consult a healthcare provider before using medicinal extracts.",https://en.wikipedia.org/wiki/Guava
hibiscus,Hibiscus,"Hibiscus (Hibiscus rosa-sinensis) is a flowering plant species in the family Malvaceae, native to tropical and subtropical regions of the world. It is widely cultivated for its vibrant flowers, which are used in traditional medicine and culinary applications.","Hibiscus is used to treat high blood pressure, cholesterol, and digestive problems. It is also used in skincare for its antioxidant and anti-inflammatory properties, promoting youthful skin and reducing redness and irritation.","Hibiscus is rich in antioxidants like anthocyanins, vitamin C, and flavonoids. It has antimicrobial, anti-inflammatory, and diuretic properties. Hibiscus is known to help lower blood pressure, manage cholesterol levels, and support heart health.","Hibiscus flowers are commonly used to make herbal tea, which is consumed to support heart health and reduce inflammation. The flowers can also be used topically in skincare products, and hibiscus extracts are included in hair care products for promoting hair health.","Hibiscus may lower blood pressure, so people with hypotension or those on blood pressure medications should use it with caution. Pregnant women should avoid consuming hibiscus tea as it may have uterine-stimulating effects. Always consult a healthcare provider before use.",https://en.wikipedia.org/wiki/Hibiscus
Hibiscus,Hibiscus,"Hibiscus (Hibiscus rosa-sinensis) is a flowering plant species in the family Malvaceae, native to tropical and subtropical regions of the world. It is widely cultivated for its vibrant flowers, which are used in traditional medicine and culinary applications.","Hibiscus is used to treat high blood pressure, cholesterol, and digestive problems. It is also used in skincare for its antioxidant and anti-inflammatory properties, promoting youthful skin and reducing redness and irritation.","Hibiscus is rich in antioxidants like anthocyanins, vitamin C, and flavonoids. It has antimicrobial, anti-inflammatory, and diuretic properties. Hibiscus is known to help lower blood pressure, manage cholesterol levels, and support heart health.","Hibiscus flowers are commonly used to make herbal tea, which is consumed to support heart health and reduce inflammation. The flowers can also be used topically in skincare products, and hibiscus extracts are included in hair care products for promoting hair health.","Hibiscus may lower blood pressure, so people with hypotension or those on blood pressure medications should use it with caution. Pregnant women should avoid consuming hibiscus tea as it may have uterine-stimulating effects. Always consult a healthcare provider before use.",https://en.wikipedia.org/wiki/Hibiscus
nithyapushpa,Nithyapushpa (Nithyakalyani),"Nithyapushpa, scientifically known as *Catharanthus roseus*, is an evergreen shrub native to Madagascar and widely cultivated in India and other tropical regions. It is known for its vibrant flowers and is used both ornamentally and medicinally.","Nithyapushpa is used to manage diabetes, hypertension, and certain cancers. It is also used in traditional medicine to treat wounds, infections, and as a general tonic. The plant is also utilized in ornamental gardening.","The plant contains alkaloids like vincristine and vinblastine, which are used in chemotherapy drugs. It has anti-inflammatory, antimicrobial, and antidiabetic properties. It also helps in wound healing and boosts immunity.","The whole plant is used in traditional medicine, either as a decoction or in powdered form. It is also used topically for wound care. The plant is cultivated for ornamental purposes in gardens and landscapes.","The plant contains toxic compounds and should be used under medical supervision. Overconsumption can lead to side effects such as nausea, vomiting, and low blood pressure. Pregnant and breastfeeding women should avoid using this plant.",https://en.wikipedia.org/wiki/Catharanthus_roseus
wood_sorel,Wood Sorel,"Wood Sorrel (Oxalis spp.) is a genus of flowering plants found worldwide, recognized by their trifoliate leaves and sour taste due to oxalic acid. Common species include Oxalis acetosella and Oxalis corniculata, often used in traditional medicine and culinary applications.","Traditionally used to treat digestive issues, fevers, mouth ulcers, and scurvy. Also applied topically for wounds and inflammation.","Rich in vitamin C and antioxidants; possesses diuretic, astringent, and anti-inflammatory properties.","Consumed as herbal tea, fresh leaves in salads, or applied as poultices for skin ailments.","High oxalic acid content may be harmful in large amounts, especially for individuals with kidney disorders. Use in moderation.",https://en.wikipedia.org/wiki/Oxalis
tamarind,Tamarind,"Tamarind (Tamarindus indica) is a leguminous tree native to tropical Africa but widely cultivated in India and other tropical regions. It is known for its edible, tangy fruit used in culinary, medicinal, and traditional practices.","Tamarind is used in traditional medicine to aid digestion, relieve constipation, and treat fever and sore throat. In culinary uses, it is a common ingredient in chutneys, sauces, and beverages. Medicinally, it is also used to manage bile disorders and act as a mild laxative.","Tamarind is rich in antioxidants, dietary fiber, and essential vitamins like B1, B3, and C. It exhibits anti-inflammatory, antimicrobial, and laxative properties. It helps improve digestion, reduce fever, and support heart and liver health.",Tamarind pulp is consumed directly or used in cooking. It is also used in herbal syrups and digestive tonics. The leaves and bark are used in traditional medicine for wound healing and inflammation. Tamarind water is often consumed to aid in digestion.,Overconsumption may cause acidity or interfere with certain medications like aspirin due to its blood-thinning properties. People with acid reflux or sensitive stomachs should moderate their intake. Diabetics should monitor blood sugar levels as tamarind may lower glucose.,https://en.wikipedia.org/wiki/Tamarind
brahmi,Brahmi,"Brahmi (Bacopa monnieri) is a creeping herb native to wetlands across India and Southeast Asia. It is a key herb in Ayurvedic medicine, valued for its powerful cognitive-enhancing and stress-relieving effects.","Brahmi is used to improve memory, concentration, and learning abilities. It is also applied in managing anxiety, stress, epilepsy, and Alzheimer�s disease. Traditionally, it has been used to support overall brain function and mental clarity.","Brahmi has neuroprotective, antioxidant, anti-inflammatory, and adaptogenic properties. It enhances cognitive performance, reduces cortisol levels, supports nervous system health, and helps with relaxation and mental rejuvenation.","Consumed as a supplement (capsule, powder, or syrup) or as an herbal tea. Brahmi oil is also massaged into the scalp to improve hair health and mental calmness. Aqueous extracts are used in Ayurvedic remedies.",Mild gastrointestinal symptoms like bloating or nausea may occur with high doses. It may interact with sedatives or thyroid medications. Pregnant and breastfeeding women should consult a doctor before use.,https://en.wikipedia.org/wiki/Bacopa_monnieri
bhrami,Brahmi,"Brahmi (Bacopa monnieri) is a creeping herb native to wetlands across India and Southeast Asia. It is a key herb in Ayurvedic medicine, valued for its powerful cognitive-enhancing and stress-relieving effects.","Brahmi is used to improve memory, concentration, and learning abilities. It is also applied in managing anxiety, stress, epilepsy, and Alzheimer�s disease. Traditionally, it has been used to support overall brain function and mental clarity.","Brahmi has neuroprotective, antioxidant, anti-inflammatory, and adaptogenic properties. It enhances cognitive performance, reduces cortisol levels, supports nervous system health, and helps with relaxation and mental rejuvenation.","Consumed as a supplement (capsule, powder, or syrup) or as an herbal tea. Brahmi oil is also massaged into the scalp to improve hair health and mental calmness. Aqueous extracts are used in Ayurvedic remedies.",Mild gastrointestinal symptoms like bloating or nausea may occur with high doses. It may interact with sedatives or thyroid medications. Pregnant and breastfeeding women should consult a doctor before use.,https://en.wikipedia.org/wiki/Bacopa_monnieri
sapota,Sapota,"Sapota (Manilkara zapota), also known as chikoo or sapodilla, is a tropical fruit-bearing tree native to southern Mexico, Central America, and the Caribbean. It is cultivated widely in India for its sweet and grainy-textured fruit.","Sapota is consumed as a fresh fruit and also used in milkshakes, desserts, and jams. In traditional medicine, it has been used to manage diarrhea, cough, and cold. The seeds and bark have astringent and anti-inflammatory applications.","Sapota is rich in dietary fiber, antioxidants, vitamins A and C, and minerals like iron and potassium. It helps improve digestion, boosts immunity, promotes skin health, and supports energy production due to its natural sugars.","The ripe fruit is eaten directly or used in desserts, smoothies, and ice creams. The latex of the plant has been used for dental purposes in the past. In traditional remedies, crushed seeds and bark extracts are sometimes applied topically.",Unripe fruit may cause mouth irritation or throat dryness. Excessive consumption of sapota may lead to weight gain due to its high sugar content. People with diabetes should monitor their intake. Always wash the fruit thoroughly before consumption.,https://en.wikipedia.org/wiki/Manilkara_zapota
basale,Basale (Malabar Spinach),"Basale, scientifically known as Basella alba, is a fast-growing, soft-stemmed vine native to the Indian subcontinent and Southeast Asia. Commonly referred to as Malabar Spinach, it is a popular leafy vegetable in tropical regions, known for its thick, fleshy leaves and mild flavor.","Basale is used in traditional medicine to treat digestive issues, skin conditions, and inflammation. It is also utilized for its cooling properties, making it beneficial in managing fevers and heat-related ailments. Additionally, it supports bone health and is used to enhance fertility and lactation.","Basale is rich in vitamins A and C, iron, calcium, and antioxidants. It exhibits anti-inflammatory, laxative, and demulcent properties. Regular consumption aids in digestion, boosts immunity, promotes healthy skin, and supports overall well-being.","The leaves and tender stems are consumed cooked in curries, soups, and stir-fries. They can also be eaten raw in salads. In traditional remedies, leaf paste is applied to wounds and burns, and leaf juice is consumed to alleviate digestive issues.","While Basale is generally safe for consumption, excessive intake may lead to digestive discomfort in some individuals. People with a history of kidney stones should consume it in moderation due to its oxalate content. Always consult a healthcare provider for personalized advice.",https://en.wikipedia.org/wiki/Basella_alba
avacado,Avacado,"Avacado (Persea americana) is a fruit native to the Americas, primarily Mexico and Central America. Known for its creamy texture and rich, mild flavor, it is often referred to as a �superfood� due to its high nutritional value and numerous health benefits.","Avacado is widely used in culinary applications, such as guacamole, salads, smoothies, and as a topping for toast. Its oil is also used in skincare and hair care products due to its moisturizing and nourishing properties. Additionally, avocado has been used traditionally to support heart health and weight management.","Avacado is packed with healthy fats, primarily monounsaturated fats, which support heart health. It is also rich in fiber, vitamins (A, C, E, K, B-6), and minerals like potassium, which help regulate blood pressure and support overall well-being.",The flesh of the avocado is eaten raw or added to various dishes. Avocado oil is used in cooking and skin care. Avocado is also blended into smoothies or spread on bread as a nutritious alternative to butter.,"Although avocado is generally safe for most people, it is high in calories, so it should be consumed in moderation, particularly for those watching their caloric intake. Some people may have allergic reactions, and avocado is not recommended for individuals with latex allergies due to cross-reactivity.",https://en.wikipedia.org/wiki/Avocado
ashwagandha,Ashwagandha,"Ashwagandha (Withania somnifera), also known as Indian ginseng or winter cherry, is an adaptogenic herb used in Ayurvedic medicine for its restorative and rejuvenating properties. Native to India, it is revered for its ability to help the body manage stress and enhance overall vitality.","Ashwagandha is primarily used to reduce stress and anxiety, improve sleep quality, boost energy, and support cognitive function. It is also used to enhance physical endurance, strengthen the immune system, and manage inflammation. In traditional medicine, it is used to treat conditions like arthritis, insomnia, and hormonal imbalances.","Ashwagandha has adaptogenic, anti-inflammatory, antioxidant, and anti-anxiety properties. It helps lower cortisol levels, improves mental clarity and memory, enhances endurance, and promotes a balanced mood. It is also known for its potential to improve testosterone levels and fertility in men.","Ashwagandha is typically consumed in the form of powder, capsules, or tablets. It can also be mixed into smoothies, milk, or teas. In Ayurvedic practices, it is often combined with other herbs for enhanced therapeutic effects.","Excessive use of Ashwagandha may lead to mild side effects like digestive upset, diarrhea, or drowsiness. It is not recommended for pregnant or breastfeeding women or individuals with autoimmune conditions without medical supervision. Always consult a healthcare provider before starting Ashwagandha supplements.",https://en.wikipedia.org/wiki/Withania_somnifera
nagadali,Nagadali,"Nagadali, scientifically known as Ruta graveolens, is a perennial herb native to the Mediterranean region. It is characterized by its aromatic, feathery leaves and small, yellow-green flowers. The plant is commonly used in traditional medicine and as an ornamental plant.","Nagadali is used in traditional medicine to treat various ailments such as digestive disorders, menstrual problems, and as an insect repellent. It is also employed in spiritual practices for its protective properties and is used in gardens for its ornamental value.","Nagadali possesses anti-inflammatory, antimicrobial, and antioxidant properties. It is known to aid in digestion, relieve menstrual cramps, and act as a natural insect repellent. The plant is also believed to have protective qualities in spiritual practices.","The leaves of the Nagadali plant are used to make herbal teas, tinctures, and poultices. In gardens, it is planted as a decorative shrub and as a natural pest deterrent. The plant requires full sun and well-drained soil for optimal growth.","Nagadali contains compounds that can be toxic in large quantities. It should be used with caution, especially during pregnancy and breastfeeding. Prolonged skin contact may cause irritation in some individuals. Always consult a healthcare provider before use.",https://en.wikipedia.org/wiki/Ruta_graveolens
arali,Arali (Nerium Oleander),"Arali, scientifically known as Nerium oleander, is a flowering shrub native to the Mediterranean region. It is widely cultivated in tropical and subtropical areas for its ornamental value, characterized by its vibrant flowers and evergreen foliage.","Traditionally, various parts of the Arali plant have been used in folk medicine for conditions such as heart ailments, asthma, epilepsy, and skin diseases. However, these uses are based on traditional practices, and scientific evidence supporting their efficacy is limited.","Arali is primarily valued for its ornamental appeal in landscaping. It is tolerant to drought and can thrive in various soil conditions, making it a popular choice for hedges and decorative plantings.","The plant is cultivated for its aesthetic value in gardens and landscapes. It can be grown as a shrub or trained into a small tree. The flowers, which bloom from late spring to late summer, come in colors ranging from white to pink to red.","Arali is highly toxic if ingested. All parts of the plant contain cardiac glycosides, which can cause symptoms such as nausea, vomiting, abdominal pain, and irregular heart rhythms if consumed. Prolonged skin contact with the sap may also cause irritation.",https://en.wikipedia.org/wiki/Nerium
ekka,Ekka (Calotropis gigantea),"Ekka, scientifically known as Calotropis gigantea, is a large shrub belonging to the Apocynaceae family. It is native to the Indian subcontinent and is characterized by its milky sap and large, waxy flowers that are typically white or lavender in color.","Ekka has been used in traditional medicine for various purposes, including as a purgative and emetic. It is also utilized in the treatment of skin diseases, respiratory disorders, and digestive issues. The plant is known for its anti-inflammatory and antimicrobial properties.","Ekka is believed to have several health benefits, such as aiding in the treatment of fevers, nausea, vomiting, diarrhea, and digestive disorders. It is also used to relieve mild to severe skin issues and respiratory tract infections.",The plant's latex is used in purgation and vomiting therapy. It is also applied topically for skin conditions and used in traditional remedies for respiratory and digestive ailments.,"Ekka is considered toxic and should be used with caution. Overdose can lead to severe vomiting and diarrhea. It should not be used during pregnancy and lactation, and is not recommended for children. Always consult a healthcare provider before use.",https://en.wikipedia.org/wiki/Calotropis_gigantea
ganike,Ganike (Solanum nigrum),"Ganike, scientifically known as Solanum nigrum, is an herbaceous plant native to Asia and Africa. It is commonly referred to as Black Nightshade and is used both as a vegetable and in traditional medicine for its various health benefits.","Ganike is used in traditional medicine for its purported health benefits, such as supporting digestive health, reducing inflammation, and boosting immunity. The leaves and berries are often used in South Indian cooking, particularly in dishes like Kootu and Rasam.","Ganike is rich in vitamins A, C, E, and K, as well as minerals like calcium, iron, and magnesium. It is believed to have anti-inflammatory, antimicrobial, and digestive health benefits.","The leaves are consumed in various dishes such as Kootu, Rasam, and Tambli. They are typically boiled and cooked with other ingredients to reduce their toxicity. The berries are consumed cautiously due to their toxic properties in unripe form.","Ganike contains solanine, which can be toxic if consumed in large quantities, especially if the berries are not ripe. It is recommended to cook the leaves thoroughly before consumption. Pregnant or breastfeeding women and individuals with underlying health conditions should consult a healthcare provider before using it for medicinal purposes.",https://en.wikipedia.org/wiki/Solanum_nigrum
honge,Honge (Pongamia Pinnata),"Honge, scientifically known as *Pongamia pinnata* (formerly *Millettia pinnata*), is a fast-growing tree native to tropical Asia. It is known for its nitrogen-fixing abilities and is widely used in biodiesel production, traditional medicine, and industrial applications.","The Honge tree is used for its seeds, which provide oil for biodiesel production. It is also used in traditional medicine for skin conditions and digestive issues. The oil is applied for its anti-inflammatory and antimicrobial properties, and the tree is valued for its environmental benefits as a nitrogen-fixer and shade provider.","Honge oil has multiple applications, including use in biodiesel production, soap making, leather tanning, and lubricants. It is also beneficial in improving soil fertility and supporting reforestation efforts. The tree is drought-resistant and can thrive in a variety of soil types.",The leaves and bark of the Honge tree are used in traditional medicine to treat skin ailments and digestive issues. The oil extracted from the seeds is applied topically and used in industrial products. It is also planted for environmental restoration and urban landscaping.,"The seeds and oil of the Honge tree can be toxic if consumed in large quantities. The sap and oil may cause skin irritation in some individuals. Caution should be taken when using the tree's products, especially in large amounts, and consultation with a healthcare provider is advised before medicinal use.",https://en.wikipedia.org/wiki/Pongamia_pinnata
mint,Mint (Mentha),"Mint, scientifically known as *Mentha*, is a genus of aromatic herbs in the Lamiaceae family. It is widely used for its fragrant leaves and has multiple varieties, including Peppermint (*Mentha piperita*) and Spearmint (*Mentha spicata*). Mint is native to Europe and Asia but is now cultivated globally.","Mint is used extensively in culinary dishes, beverages (such as mint tea and mojitos), and for its cooling effect in desserts. It is also used in traditional medicine to aid digestion, relieve nausea, and treat respiratory issues. Mint oil is commonly used in aromatherapy and personal care products like toothpaste, mouthwash, and lotions.","Mint has digestive, anti-inflammatory, and antimicrobial properties. It is also known for its soothing effect on the stomach, helping to alleviate indigestion, bloating, and gas. The menthol in mint provides a cooling sensation and is often used to relieve headaches and muscle pain.","Mint leaves can be used fresh or dried in cooking, teas, and garnishes. Mint oil can be applied topically to soothe skin irritation or used in aromatherapy. Fresh mint is also a key ingredient in many health drinks and is often used to add flavor to dishes, especially salads, chutneys, and desserts.","Mint should be used in moderation, as excessive consumption may lead to heartburn or gastrointestinal discomfort. Peppermint oil should not be applied directly to the skin in undiluted form, as it can cause irritation. People with certain conditions, such as GERD (gastroesophageal reflux disease), should consult a healthcare provider before using mint products.",https://en.wikipedia.org/wiki/Mint
catharanthus,Catharanthus (Periwinkle),"Catharanthus, commonly known as Periwinkle, is a genus of flowering plants in the Apocynaceae family. Native to Madagascar, it is widely cultivated for ornamental purposes. The plant is known for its beautiful, colorful flowers and is also valued for its medicinal properties.","Periwinkle is used in traditional medicine, especially for its anti-cancer properties. The leaves are used to prepare herbal remedies for controlling diabetes, high blood pressure, and infections. Catharanthus is also widely used in ornamental gardening due to its vibrant flowers.","Catharanthus has anti-cancer properties, as it contains alkaloids such as vincristine and vinblastine, which are used in chemotherapy drugs. It is also known for its antimicrobial, anti-inflammatory, and anti-diabetic effects.","The leaves and flowers of Catharanthus are used in herbal medicine. The plant is often made into a decoction or extract to treat various ailments, including diabetes and high blood pressure. It is also used in the production of chemotherapy drugs.","Catharanthus is toxic if consumed in large quantities. The plant contains alkaloids that can cause nausea, vomiting, and other toxic effects. It should only be used under the guidance of a healthcare provider, especially when used for medicinal purposes.",https://en.wikipedia.org/wiki/Catharanthus
